,address,area,date,location,time,type
0,92078X FARRINGTON HWY,KAPOLEI,11/30/2016,HONOKAI HALE,9:29:11 PM,TRAFFIC SIGNAL PROBLEM
1,283X E MANOA RD,MANOA,11/30/2016,MANOA VLY THEATRE,9:14:30 PM,TRAFFIC NUISANCE OR PARKING VIOLATION
2,KALAKAUA AVE&MONSARRAT; AVE,WAIKIKI,11/30/2016, ,8:52:01 PM,MOTOR VEHICLE COLLISION
3,ST LOUIS DR&WAIALAE; AVE,KAIMUKI,11/30/2016, ,8:48:35 PM,TRAFFIC SIGNAL PROBLEM
4,122X N SCHOOL ST,KALIHI,12/1/2016, ,5:25:48 AM,MOTOR VEHICLE COLLISION
5,188X MAKUAKANE ST,KALIHI,12/1/2016,KAMEHAMEHA SCHOOLS,1:37:27 PM,MOTOR VEHICLE COLLISION
6,16X H1E FWY,AIRPORT,12/1/2016,H1E AIRPORT OFF,1:31:20 PM,TRAFFIC NUISANCE OR PARKING VIOLATION
7,421X WAIALAE AVE,WAIALAE,12/1/2016,URGENT CARE,1:30:16 PM,MOTOR VEHICLE COLLISION
8,17X H1E FWY,AIRPORT,12/1/2016,H1E AIRPORT ON,1:28:22 PM,TRAFFIC NUISANCE OR PARKING VIOLATION
9,H1E AIEA OFF,AIEA,12/1/2016,H1E AIEA OFF,1:25:47 PM,STALLED/HAZARDOUS VEHICLE
10,H3E HOSPITAL ROCK,KANEOHE,12/1/2016,H3E HOSPITAL ROCK,1:20:40 PM,STALLED/HAZARDOUS VEHICLE
11,KAHUHIPA ST&KAM; HWY,KANEOHE,12/1/2016, ,1:13:33 PM,MOTOR VEHICLE COLLISION
12,CAMP CATLIN RD&N; NIMITZ HWY,AIRPORT,12/1/2016, ,12:41:18 PM,MOTOR VEHICLE COLLISION
13,LEXINGTON ST&MIDWAY; RD,KALAELOA,12/5/2016, ,7:16:42 AM,MOTOR VEHICLE COLLISION
14,KALANIANAOLE HWY&KAWAIHAE; ST,HAWAII KAI,12/5/2016, ,7:16:33 AM,HAZARDOUS DRIVER
15,COYNE ST&GRIFFITHS; ST,MCCULLY,12/5/2016, ,7:13:40 AM,MOTOR VEHICLE COLLISION - TOWED
16,49027X KAM HWY,KAHALUU,12/5/2016,KUALOA RANCH,7:01:34 AM,TRAFFIC NUISANCE OR PARKING VIOLATION
17,99120X HALAWA VALLEY ST,AIEA,12/5/2016, ,6:59:13 AM,MOTOR VEHICLE COLLISION
18,1X H1W FWY,MAKAKILO,12/5/2016,H1W KUNIA OFF,6:58:45 AM,HAZARDOUS DRIVER
19,150X DILLINGHAM BLVD,KALIHI,12/5/2016,BURGER KING KALIHI,6:56:08 AM,TRAFFIC INCIDENT - NO COLLISION
20,ALA MOANA&WARD; AVE,KAKAAKO,12/5/2016, ,6:54:54 AM,TRAFFIC SIGNAL PROBLEM
21,55069X KAM HWY,LAIE,12/5/2016,HUKILAU PARK,6:44:14 AM,TRAFFIC NUISANCE OR PARKING VIOLATION
22,57X H3W FWY,AIEA,12/5/2016,HARANO TUNNEL H3W,6:42:05 AM,MOTOR VEHICLE COLLISION
23,57X H3W FWY,AIEA,12/5/2016,HARANO TUNNEL H3W,6:42:04 AM,MOTOR VEHICLE COLLISION
